zonas,enderecos,precos,areas,quartos
sul,"Rua Doutor Ferreira Lopes, Vila Sofia, São Paulo Zona Sul, São Paulo",1100.0,90.0,3.0
sul,"Avenida Dos Ourives, Jardim São Savério, São Paulo Zona Sul, São Paulo",1000.0,63.0,3.0
sul,"Rua Doutor Nicolau Alberto Defina, Jardim Da Saúde, São Paulo Zona Sul, São Paulo",1224.0,68.0,2.0
sul,"Avenida Carlos Liviero, Vila Liviero, São Paulo Zona Sul, São Paulo",1300.0,48.0,2.0
sul,"Rua Armando Ramos Filho, Moinho Velho, São Paulo Zona Sul, São Paulo",830.0,40.0,1.0
sul,"Rua Manuel José Rodrigues, Vila Caraguatá, São Paulo Zona Sul, São Paulo",900.0,40.0,1.0
sul,"Rua Urano, Aclimação, São Paulo Zona Sul, São Paulo",2070.0,83.0,3.0
sul,"Avenida Ramalho Ortigão, Vila Gumercindo, São Paulo Zona Sul, São Paulo",1830.0,70.0,2.0
sul,"Avenida Engenheiro Armando De Arruda Pereira, Vila Do Encontro, São Paulo Zona Sul, São Paulo",1750.0,65.0,3.0
sul,"Rua Dona Inácia Uchoa, Vila Mariana, São Paulo Zona Sul, São Paulo",1806.0,40.0,1.0
sul,"Avenida Estado, Cambuci, São Paulo Zona Sul, São Paulo",1200.0,50.0,1.0
sul,"Rua Dos Cariris Novos, Jardim Santa Emília, São Paulo Zona Sul, São Paulo",1000.0,60.0,3.0
sul,"Rua Engenheiro João Monteiro Da Gama, Vila Da Saúde, São Paulo Zona Sul, São Paulo",1100.0,45.0,1.0
sul,"Rua Topázio, Vila Mariana, São Paulo Zona Sul, São Paulo",2510.0,34.0,1.0
sul,"Avenida Senador Vitorino Freire, Jardim Melo, São Paulo Zona Sul, São Paulo",1400.0,85.0,3.0
sul,"Avenida Cupecê, 1784, Jardim Prudência, Jardim Prudência, São Paulo Zona Sul, São Paulo",1291.0,65.0,2.0
sul,"Rua Dom Vilares, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1300.0,58.0,2.0
sul,"Avenida Dória, Vila Alexandria, São Paulo Zona Sul, São Paulo",2750.0,105.0,2.0
sul,"Rua Franklin Magalhães, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",1836.0,62.0,3.0
sul,"Rua Cristóforo Mantegazza, Jardim Vergueiro (sacomã), São Paulo Zona Sul, São Paulo",990.0,25.0,1.0
sul,"Rua Abagiba, Saúde, São Paulo Zona Sul, São Paulo",2200.0,74.0,3.0
sul,"Rua Baronesa De Bela Vista, 577, Vila Congonhas, Vila Congonhas, São Paulo Zona Sul, São Paulo",1500.0,35.0,1.0
sul,"Rua Silva Bueno, Ipiranga, São Paulo Zona Sul, São Paulo",1700.0,47.0,1.0
sul,"Rua Amaro André, Santo Amaro, São Paulo Zona Sul, São Paulo",2570.0,80.0,3.0
sul,"Rua Lino Coutinho, Ipiranga, São Paulo Zona Sul, São Paulo",3300.0,101.0,3.0
sul,"Rua Pelotas, Vila Mariana, São Paulo Zona Sul, São Paulo",1830.0,13.0,1.0
sul,"Rua Dom Macário, Saúde, São Paulo Zona Sul, São Paulo",1000.0,52.0,2.0
sul,"Rua Abagiba, Saúde, São Paulo Zona Sul, São Paulo",1350.0,54.0,2.0
sul,"Rua Araújo Gondim, Jardim Santa Cruz (sacomã), São Paulo Zona Sul, São Paulo",1648.0,50.0,2.0
sul,"Rua Dos Buritis, Jardim Oriental, São Paulo Zona Sul, São Paulo",1460.0,67.0,3.0
sul,"Rua Carvalho De Freitas, Vila Andrade, São Paulo Zona Sul, São Paulo",2670.0,109.0,3.0
sul,"Rua Fosca, Jardim Previdência, São Paulo Zona Sul, São Paulo",1648.0,61.0,3.0
sul,"Rua Doutor Nicolau De Sousa Queirós, Vila Mariana, São Paulo Zona Sul, São Paulo",5500.0,205.0,4.0
sul,"Rua Dionísio Da Costa, Vila Mariana, São Paulo Zona Sul, São Paulo",3250.0,33.0,1.0
sul,"Rua Humberto I, Vila Mariana, São Paulo Zona Sul, São Paulo",2100.0,16.0,1.0
sul,"Avenida Luís Stamatis, Vila Constança, São Paulo Zona Sul, São Paulo",1575.0,66.0,3.0
sul,"Rua Sócrates, Vila Sofia, São Paulo Zona Sul, São Paulo",1950.0,68.0,2.0
sul,"Rua Tenente Ubirajara Monory, Jabaquara, São Paulo Zona Sul, São Paulo",1850.0,55.0,2.0
sul,"Avenida Santo Amaro, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",1700.0,50.0,1.0
sul,"3, Vila Da Saúde, São Paulo Zona Sul, São Paulo",2650.0,70.0,3.0
sul,"Rua Gabriele D#39annunzio, Campo Belo, São Paulo Zona Sul, São Paulo",2500.0,42.0,1.0
sul,"Rua Tapes, Jardim Aeroporto, São Paulo Zona Sul, São Paulo",3500.0,110.0,3.0
sul,"Rua Fernandes Moreira, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",2500.0,65.0,3.0
sul,"Rua Coronel Francisco De Oliveira Simões, Paraíso Do Morumbi, São Paulo Zona Sul, São Paulo",2200.0,83.0,3.0
sul,"Rua Aquiles Jovane, Jardim Celeste, São Paulo Zona Sul, São Paulo",1650.0,50.0,2.0
sul,"Rua Doutora Neyde Apparecida Sollitto, Vila Clementino, São Paulo Zona Sul, São Paulo",1280.0,30.0,1.0
sul,"Avenida Doutor Altino Arantes, Vila Clementino, São Paulo Zona Sul, São Paulo",3250.0,50.0,2.0
